name,author,price,words,description,date,language,category
"The Fulcrum, Book Three",Lenaya Fallin,1.49,18750.0,"This is a series with cliffhanger endings. ˈfʊlk.ɹəm: the fixed point, providing balance and power Life can be tricky you are submissive, genetically engineered and related to spies. She is a journalist whose biggest scoops can never be written. The current one is a doozy. Her brothers are MIA. No one seems to know the nature of the mission or even where it took place. And she's stuck on a...",2022.0,English.,» Multicultural & Interracial
Small Step Habits Create Weight Loss Success,Kurt Reichert,2.49,20520.0,"Did you know that you can burn fat like a flame raging across a dry field, drop pounds like a deserving ex, and keep the weight off without weighing your food, measuring your ounces, or leaving behind every taste you ever loved? If you're tired of being overweight, feeling anything but your best, or hiding behind a trunk of clothes to hide the flab on your belly, it's time to change this.",2021.0,English.,» healthy living
El evangélico pentecostal frente al daño ambiental,José Galván Veintemilla,2.9,6440.0,"Este ensayo de investigación intenta saber si el evangélico, en especial el pentecostal, si su reconocimiento a la creación, lo armoniza con las normativas públicas sobre el cuidado del medioambiente ante los inminentes efectos del daño que experimentan los ecosistemas y menoscabo de los recursos naturales. Para esta redacción, hemos realizado una encuesta y acudido a tesis de universidades...",2023.0,English.,» Christianity / Pentecostal & Charismatic
Stories from Ecuador: A Collection by Tyrel Nelson,Tyrel Nelson,2.99,35710.0,"In Stories from Ecuador, one gets a glimpse into Tyrel Nelson's background as well as his life as an English teacher during the 2007 and 2008 school years. They also become familiar with his host community of Cuenca. Through more than thirty illustrative vignettes, the author sprinkles Spanish, photos, and pieces of his personality to set the table for the audience as they meet the neighbors...",2022.0,English.,» South America
Scorpio The New Astrology - Chinese And Western Zodiac Signs:,Suzanne White,2.99,18400.0,"THIS BOOK'S ACCURATE DESCRIPTIONS OF YOUR WESTERN SUN SIGN COMBINED WITH YOUR CHINESE ANIMAL SIGNS IS ASTOUNDING. EACH CHAPTER OFFERS AN INGENIOUS BLEND OF THE WORLD'S TWO MAIN ZODIACS. THE NEW ASTROLOGY REVEALS TRUE CHARACTER AND DEFINES PERSONALITY.. THE NOISY SCORPIO/DRAGON IS ,FOR EXAMPLE, VASTLY DIFFERENT FROM A CRUSTY SCORPIO/DOG. FIND OUT IN THIS BOOK HOW ALL 12 CHINESE ANIMALS AFFECT...",2019.0,English.,» Astrology / eastern
Taurus The New Astrology – Chinese and Western Zodiac Signs: The New Astrology by Sun Sign,Suzanne White,2.99,20120.0,"AN INGENIOUS BLEND OF CHINESE AND WESTERN ASTROLOGY SIGNS. FIND OUT MORE ABOUT YOURSELF AND YOUR FRIENDS, FAMILY AND EVEN YOUR DARKEST ENEMIES. SUZANNE WHITE'S NEW ASTROLOGY™ BY SUN SIGN SERIES BOOK TWO - TAURUS In this new series, Suzanne White cleverly combines individual Sun signs with Chinese Animal signs to describe 12 NEW ASTROLOGY™ signs. Each book has the name of one Sun sign. Find...",2019.0,English.,» Astrology / eastern
Virgo The New Astrology – Chinese and Western Zodiac Signs: The New Astrology by Sun Sign,Suzanne White,2.99,18720.0,"VIRGO - YOUR WESTERN SUN SIGN COMBINED WITH YOUR CHINESE ANIMAL SIGN WILL ASTOUND YOU. THIS BOOK IS AN INGENIOUS BLEND OF VIRGO WITH ALL 12 CHINESE ASTROLOGY SIGNS. FIND OUT MORE ABOUT YOUR OWN NEW ASTROLOGY SIGN AND THOSE OF YOUR LOVERS, FRIENDS, FAMILY AND ENEMIES. No other sign of the occidental horoscope system (except at times the Capricorn) has such a well-developed sense of what is...",2019.0,English.,» Astrology / eastern
Capricorn - The New Astrology - Chinese And Western Zodiac Signs,Suzanne White,2.99,20160.0,"In this new series, Suzanne White cleverly combines Sun signs with Chinese Animal signs to describe 12 New Astrology™ signs. Each book has the name of one Sun sign. Find yours! In each of these books, there is a generous chapter on the western Sun Sign.Then we find out what THE NEW ASTROLOGY is and how it works by mixing Sun signs with Chinese Astrology. Each book contains the entire Chinese...",2019.0,English.,» Astrology / eastern
Those Darn Stripes,Tyrel Nelson,2.99,25610.0,"In the fall of 2008, Tyrel Nelson returns to the United States after teaching English in Ecuador for a year. Although living overseas was quite an adjustment for the Minnesotan, the months to follow (mostly spent around his stomping grounds) bring on life changes far bigger than anything he had encountered in South America. Fortunately, his pop and confidant, Jay, is there to guide Tyrel...",2022.0,English.,» Personal memoir
Sagittarius - The New Astrology - Chinese And Western Zodiac Signs:,Suzanne White,2.99,19670.0,"AN INGENIOUS BLEND OF CHINESE AND WESTERN ASTROLOGY SIGNS. FIND OUT MORE ABOUT YOUR NEW ASTROLOGY™ SIGN AND THOSE OF YOUR LOVERS, FRIENDS, FAMILY AND ENEMIES. SUZANNE WHITE'S NEW ASTROLOGY™ BY SUN SIGN SERIES BOOK 9 - SAGITTARIUS In this new series, Suzanne White cleverly combines individual Sun signs with Chinese Animal signs to describe 12 NEW ASTROLOGY™ signs. Each book has the name of one...",2019.0,English.,» Astrology / eastern
Pisces The New Astrology - Chinese And Western Zodiac Signs,Suzanne White,2.99,19020.0,"THIS BOOK'S ACCURATE DESCRIPTIONS OF WESTERN SUN SIGNS COMBINED WITH ALL 12 CHINESE ANIMAL SIGNS IS ASTOUNDING. EACH CHAPTER OFFERS AN INGENIOUS BLEND OF THE WORLD'S TWO MAIN ZODIACS. THE NEW ASTROLOGY REVEALS TRUE CHARACTER AND DEFINES PERSONALITY. THE FEISTY PISCES/DRAGON IS ,FOR EXAMPLE, VASTLY DIFFERENT FROM A MORE DOCILE PISCES/RABBIT. FIND OUT IN THIS BOOK HOW THE 12 MYSTICAL CHINESE...",2019.0,English.,» Astrology / eastern
"Hoodoo for Beginners: Connect To The Ancient Spirit World of Africa & Manifest Success With Spells, Root Magic, Conjuring, Herbs, Traditions, History & More",History Brought Alive,2.99,29660.0,"Journey into The Mystical & Magical World of Hoodoo - from its African origins to its development in America. Hoodoo was a secret craft created by enslaved Africans in America to protect them from harm with the help of higher beings and their ancestors. It evolved from various traditional African religions and practices, and in the American South, incorporated elements of indigenous botanical...",2023.0,English.,» Channeling & mediumship
The Best Wizard Movies (2020),Steve Hutchison,2.99,13000.0,"Steve Hutchison reviews 60 of his favorite wizard movies. Each article includes a synopsis, a review, and a rating. The movies are ranked. How many have you seen?",2023.0,English.,» Film & video / guides & reviews
80 All-British Horror Movies,Steve Hutchison,2.99,17170.0,"This book contains 80 descriptions of horror films reviewed and ranked by critic Steve Hutchison. Each description includes five ratings (stars, story, creativity, acting, quality), a synopsis and a review. All movies were produced exclusively by the United Kingdom. How many have you seen?",2023.0,English.,» Film & video / guides & reviews
"Breaking Free: Escaping the Matrix, Overcoming the Slave Mindset, and Becoming a High Value Man",Mr. Hussain,2.99,2370.0,"This book provides insights on how to break free from the societal Matrix, overcome the slave mindset and become a high value man. The book aims to help readers develop self-awareness, take control of their thoughts, and pursue their goals, even if it means stepping outside their comfort zone. The book gets straight to the point, and only covers the important and relevant information.",2023.0,English.,» Educational psychology
"Norse Mythology Legends: Epic Stories, Quests, Myths & More from The Most Powerful Characters, Gods, Goddesses & Heroes of Norse & Viking Folklore",History Brought Alive,2.99,29350.0,Begin your quest into Norse Mythology & its Legendary Characters with This Book!,2023.0,English.,» Ancient mysteries & controversial knowledge
"The Book of Spells for Beginners: Revealing The History, Secrets & Practices of Spells, Witchcraft, Magick & More",Sofia Visconti,2.99,28810.0,"Join us as we explore together! Whether you're beginners or just curious to learn all about magick, spells and witchcraft.",2023.0,English.,» Ancient mysteries & controversial knowledge
The Best Lycanthrope Movies (2020),Steve Hutchison,2.99,12940.0,"Steve Hutchison reviews 60 of his favorite lycanthrope movies. Each article includes a synopsis, a review, and a rating. The movies are ranked. How many have you seen?",2023.0,English.,» Film & video / guides & reviews
Waking The Witch,W. V. Fitz-Simon,2.99,105950.0,"A witch's daughter. A murderous sorcerer. A friend in desperate need of her power... ""A refreshing take on Urban Fantasy with unique magic and an engaging mystery."" ~ Fanfiaddict.com For 30-year-old Gosha, magic is a four-letter word, but in her mother's world of witchcraft, words have power—power Gosha will have to sacrifice everything to acquire. When a devious sorcerer masquerading as a New...",2020.0,English.,» Urban
The Best Zombie Movies (2020),Steve Hutchison,2.99,12950.0,"Steve Hutchison reviews 60 of his favorite zombie movies. Each article includes a synopsis, a review, and a rating. The movies are ranked. How many have you seen?",2023.0,English.,» Film & video / guides & reviews
80 All-American Horror Movies,Steve Hutchison,2.99,17160.0,"This book contains 80 descriptions of horror films reviewed and ranked by critic Steve Hutchison. Each description includes five ratings (stars, story, creativity, acting, quality), a synopsis and a review. All movies were produced exclusively by the USA. How many have you seen?",2023.0,English.,» Film & video / guides & reviews
The Best Giant Movies (2019),Steve Hutchison,2.99,10730.0,Steve Hutchison reviews 50 of the best giant movies. Each film is analyzed and discussed with a synopsis and a rating. The movies are ranked from best to worst. How many have you seen?,2023.0,English.,» Film & video / guides & reviews
The Dying Party,Jeff Kelland,2.99,65400.0,"""The Dying Party"" asks: 'What happens when they tell us it's too late to stop climate change and we face an increasingly hellish end within our lifetimes?' Late in the 2040s, Lizzie and Donnie are two of only six people left alive in a residential complex built into the side of Gros Morne mountain, now the only piece of habitable land still above water in all of what was once eastern Canada...",2023.0,English.,» Utopias & dystopias
Destino Italia,Adrianne Holt,2.99,31440.0,"Tras la ruptura de su compromiso Hanna McCain busca sanar sus heridas embarcándose en un viaje por Italia. Sus planes darán un giro cuando un retraso en su vuelo la haga coincidir con Benjamin Clark, un atractivo asesor financiero cuya personalidad hostil podría ahuyentar a cualquiera excepto a la extrovertida Hanna. Lo que en un principio parecía una excepcional coincidencia pronto se...",2018.0,Spanish.,» Contemporary
The Best Alien Movies (2020),Steve Hutchison,2.99,12850.0,"Steve Hutchison reviews 60 of his favorite alien movies. Each article includes a synopsis, a review, and a rating. The movies are ranked. How many have you seen?",2023.0,English.,» Film & video / guides & reviews
The Best Vampire Movies (2020),Steve Hutchison,2.99,12770.0,"Steve Hutchison reviews 60 of his favorite vampire movies. Each article includes a synopsis, a review, and a rating. The movies are ranked. How many have you seen?",2023.0,English.,» Film & video / guides & reviews
The Best Demon Movies (2020),Steve Hutchison,2.99,13030.0,"Steve Hutchison reviews 60 of his favorite demon movies. Each article includes a synopsis, a review, and a rating. The movies are ranked. How many have you seen?",2023.0,English.,» Film & video / guides & reviews
When the Whistle Blows,Janet Syas Nitsick,2.99,44840.0,"When the Whistle Blows, Hugh Warren paces outside the depot, waiting to see if his love, Winifred Preston, will step off the train to meet him. He only had himself to blame for his predicament. Could she give him another chance? He did not know. Heart in his throat, he looks this way and that hoping against hope she did not already marry the beau back in Virginia. When the Whistle Blows takes...",2023.0,English.,» American
Master Your Destiny - The Anything Is Possible Mindset,Danny Nandy,2.99,9650.0,The World Is Full Of Endless Possibilities - Are You Open To This Fact?,2023.0,English.,» Personal Growth / General
Payback,Michelle Kelly,2.99,32020.0,"In a moment of madness, Riley takes out the school bully and expects PAYBACK!",2023.0,English.,» Fiction
Meeting His Match,Alexa Riley,2.99,23430.0,Twins falling for twins? Could this be more over the top? Double up on the Double Trouble Duet because it's got twice the romance and love!,2023.0,English.,» Contemporary
Bad Boy Best Friend,Hope Ford,2.99,23800.0,"He's her BFF – Best Friend Forever And he's off limits.  But now that she's single, he wants to change the rules. So why can't they be best friends with benefits?",2023.0,English.,» Contemporary
Mud,Greg Strandberg,2.99,17470.0,"Sanders McGee is at it again, this time battling a terrible mudslide after the disastrous fires that struck San Diego. After a helluva bender following the fires, Sanders awakes to a massive shootout...one that leaves a crooked cop dead and more questions than answers. The drug kingpin - and Cartel stooge - Bobby Salazar is mixed up in it. That's also the man who supplies Sanders' own dealer...",2023.0,English.,» Hard-Boiled
Beautiful Storm,Megan Isaacs,2.99,105510.0,"He was my salvation. Interviewing the notorious owner of 'Ignition' should have been simple. When asked to go home with him, I should've said 'no.' But Noah Hamilton's tattooed, hard body and rugged features were impossible to resist. I wanted him to touch me. And I longed to be loved again. I craved the escape and was desperate to know him. Much like his lifestyle, our heated affair took off...",2015.0,English.,» Erotic
Libra The New Astrology – Chinese and Western Zodiac Signs: The New Astrology by Sun,Suzanne White,2.99,18160.0,"No other sign of the occidental horoscope system (except at times the Capricorn) has such a well-developed sense of what is proper and meet in any situation. The Virgo is clear-thinking and almost never misses the mark. Virgo is logical, analytical and keeps a cool head. BOOK SEVEN - LIBRA In this new series, Suzanne White cleverly combines individual Sun signs with Chinese Animal signs to...",2019.0,English.,» Astrology / eastern
Leo The New Astrology – Chinese and Western Zodiac Signs: The New Astrology by Sun Sign,Suzanne White,2.99,21150.0,"THE PERFECT BIRTHDAY GIFT! LEO - YOUR WESTERN SUN SIGN COMBINED WITH YOUR CHINESE ANIMAL SIGN WILL ASTOUND YOU. THIS BOOK IS AN INGENIOUS BLEND OF LEO WITH ALL 12 CHINESE ASTROLOGY SIGNS. FIND OUT MORE ABOUT YOUR OWN NEW ASTROLOGY SIGN AND THOSE OF YOUR LOVERS, FRIENDS, FAMILY AND ENEMIES. In this new series, Suzanne White cleverly combines your Sun sign with your Chinese Animal sign to...",2019.0,English.,» Astrology / eastern
Cancer The New Astrology – Chinese and Western Zodiac Signs: The New Astrology by Sun,Suzanne White,2.99,21940.0,"CANCER - YOUR WESTERN SUN SIGN COMBINED WITH YOUR CHINESE ANIMAL SIGN WILL ASTOUND YOU. THIS BOOK IS AN INGENIOUS BLEND OF CANCER WITH ALL 12 CHINESE ASTROLOGY SIGNS. FIND OUT MORE ABOUT YOUR OWN NEW ASTROLOGY SIGN AND THOSE OF YOUR LOVERS, FRIENDS, FAMILY AND ENEMIES. CANCER - Emotion is the pitfall of Cancer people. As changeable as their ruler, the Moon, these subjects may shift in minutes...",2019.0,English.,» Astrology / eastern
Aquarius The New Astrology - Chinese and Western Zodiac Signs,Suzanne White,2.99,18790.0,"A Savvy Blend of your Sun Sign with your Chinese Animal Sign. An Aquarius/Dog is not like an Aquarius Rat or Dragon. The New Astrology™ is the creation of world-renowned best-selling author, Suzanne White, who has come up with a revolutionary way of looking at character by blending the signs of both cultures. You will learn a lot about yourself and even more about those you know - or think you...",2017.0,English.,» Astrology / eastern
Gemini The New Astrology – Chinese and Western Zodiac Signs: The New Astrology by Sun Sign,Suzanne White,2.99,21290.0,"GEMINI THE DESCRIPTION OF YOUR SIGN WITH ALL CHINESE SIGNS WILL ASTOUND YOU. A GEMINI/DOG IS FAR MORE AGGRESSIVE THAN A STRONG-MINDED GEMINI/DRAGON. FIND OUT EVERYTHING YOU NEED TO KNOW ABOUT YOURSELF, YOUR FRIENDS, YOUR FAMILY - AND EVEN ABOUT YOUR DARKEST ENEMIES. GEMINI In this new series, Suzanne White cleverly combines your individual western sign with your Chinese Animal sign to describe...",2019.0,English.,» Astrology / eastern
Aries The New Astrology – Chinese and Western Zodiac Signs: The New Astrology by Sun Sign,Suzanne White,2.99,20820.0,"SUZANNE WHITE'S NEW ASTROLOGY™ BY SUN SIGN SERIES BOOK ONE - ARIES. It's astounding! An Aries born in a Dragon year does not have the same basic character as an Aries/Dog or Aries/Rooster. ARIES is the first of the twelve Western signs. We all know Aries as the Soldier of the western Zodiac. And even though it comes first, Aries is often thought of as the baby of the family. Aries respond to...",2019.0,English.,» I ching
Travels and Tribulations,Tyrel Nelson,2.99,320.0,"In the spring of 2020, Tyrel Nelson lost his mother. And he lost his job in the summer. Isolated by the pandemic and hamstrung by agony, he felt forgotten by the world as it marched on. Unhappy, uneasy, and unemployed, he began picking himself up by putting down his thoughts on a yellow legal pad. Battling through his bereavement on paper proved to be cathartic. But he needed more – a writing...",2022.0,English.,» Essays & Travelogues
Coaster Girl,Tom Sinsky,2.99,32890.0,"In this funny YA novella, a child prodigy, Maria Hernandez, wins a roller coaster design contest and is hired by a company to design rides. As she becomes more successful she also grows greedy, fights with her family, and even starts to admire Rigel Hemroyd, an evil billionaire owner of rival theme parks, who later kidnaps her and makes her design the ultimate coaster.",2023.0,English.,» Chick Lit
"Years of Terror 2020: 255 Horror Movies, 51 Years of Pure Terror",Steve Hutchison,2.99,54550.0,"This book contains 255 horror movie reviews; five of the best releases each year between 1970 and 2020. Each film description contains a synopsis, a rating, and a three-paragraph review.",2023.0,English.,» Film & video / guides & reviews
Philadelphia Experiment: A Teleported Ship of World War II   The Most Unbelievable Weapon of Einstein,Robert J. Williams,2.99,2280.0,"History's most unbelievable experiment, an experiment on earth where the entire ship was teleported 200 miles away!",2023.0,English.,» Gravity
The Legend of the Grey Man of Pawleys Island,Christine Vernon,2.99,29960.0,"In the South Strand area along the coast of South Carolina, there is a ghostly legend of a Grey Man who appears to locals and vistors to warn of impending hurricanes. The first sighting of Grey Man occurred in 1822 on the beach of a small community named Pawleys Island. A young man named Will falls in love with his cousin, Rachel during the Revolutionary War period. Their love is dissolved by...",2023.0,English.,» General
Gambling Lion,Antoinette George,2.99,109510.0,"Nicholas de Bresancourt, a French aristocrat who had escaped the Revolution and grown up in England, was happy to fight against Napoleon, working undercover as a British military spy. Charming, good looking, he was a lover of many women, but saddled with a wife he neither loved nor wanted. And then there was the dangerous French agent who was obsessed with destroying Nicky and his adoptive family.",2021.0,English.,» Military
The Elusive Smuggler,Antoinette George,2.99,113370.0,"Compelling romance and swashbuckling thrills. Behind The Shadow: The dramatic and gripping story of one man with two lives and the woman he craves, but cannot have. He was the handsome aristocrat and charismatic adventurer who created a dynasty and she was the feisty, unconventional woman he loved. He was English and she was French, two strong-willed people determined never to give in to each...",2020.0,English.,» Family sagas
The Determined Duchess,Antoinette George,2.99,119400.0,"Compelling romance and swashbuckling thrills. Behind The Shadow: The dramatic and gripping story of one man with two lives and the woman he craves, but cannot have… He was the handsome aristocrat and charismatic adventurer who created a dynasty and she was the feisty, unconventional woman he loved. He was English and she was French, two strong-willed people determined never to give in to each...",2020.0,English.,» Family sagas
An Unusual Courtship,Antoinette George,2.99,110430.0,"Compelling romance and swashbuckling thrills. Behind The Shadow: The dramatic and gripping story of one man with two lives and the woman he craves, but cannot have… He was the handsome aristocrat and charismatic adventurer who created a dynasty and she was the feisty, unconventional woman he loved. He was English and she was French, two strong-willed people determined never to give in to each...",2020.0,English.,» Family sagas
Undercover Lion,Antoinette George,2.99,120580.0,"Soldier and secret agent during the latter part of the Napoleonic wars and present at the epic Battle of Waterloo in 1815; good looking, charismatic and lover of many women, but saddled with a wife he neither loved nor wanted. Nicholas de Bresancourt, Duc de Valenciennes, was a complex man of many talents, but also a tormented one. Memories of his horrific experiences as a small boy in France...",2021.0,English.,» Military
The Dangerous Harlot,Antoinette George,2.99,142720.0,"Compelling romance and swashbuckling thrills. Behind The Shadow: The dramatic and gripping story of one man with two lives and the woman he craves, but cannot have… He was the handsome aristocrat and charismatic adventurer who created a dynasty and she was the feisty, unconventional woman he loved. He was English and she was French, two strong-willed people determined never to give in to each...",2020.0,English.,» Family sagas
Libra The New Astrology – Chinese and Western Zodiac Signs: The New Astrology by Sun,Suzanne White,2.99,18160.0,"No other sign of the occidental horoscope system (except at times the Capricorn) has such a well-developed sense of what is proper and meet in any situation. The Virgo is clear-thinking and almost never misses the mark. Virgo is logical, analytical and keeps a cool head. BOOK SEVEN - LIBRA In this new series, Suzanne White cleverly combines individual Sun signs with Chinese Animal signs to...",2019.0,English.,» Astrology / eastern
Leo The New Astrology – Chinese and Western Zodiac Signs: The New Astrology by Sun Sign,Suzanne White,2.99,21150.0,"THE PERFECT BIRTHDAY GIFT! LEO - YOUR WESTERN SUN SIGN COMBINED WITH YOUR CHINESE ANIMAL SIGN WILL ASTOUND YOU. THIS BOOK IS AN INGENIOUS BLEND OF LEO WITH ALL 12 CHINESE ASTROLOGY SIGNS. FIND OUT MORE ABOUT YOUR OWN NEW ASTROLOGY SIGN AND THOSE OF YOUR LOVERS, FRIENDS, FAMILY AND ENEMIES. In this new series, Suzanne White cleverly combines your Sun sign with your Chinese Animal sign to...",2019.0,English.,» Astrology / eastern
Cancer The New Astrology – Chinese and Western Zodiac Signs: The New Astrology by Sun,Suzanne White,2.99,21940.0,"CANCER - YOUR WESTERN SUN SIGN COMBINED WITH YOUR CHINESE ANIMAL SIGN WILL ASTOUND YOU. THIS BOOK IS AN INGENIOUS BLEND OF CANCER WITH ALL 12 CHINESE ASTROLOGY SIGNS. FIND OUT MORE ABOUT YOUR OWN NEW ASTROLOGY SIGN AND THOSE OF YOUR LOVERS, FRIENDS, FAMILY AND ENEMIES. CANCER - Emotion is the pitfall of Cancer people. As changeable as their ruler, the Moon, these subjects may shift in minutes...",2019.0,English.,» Astrology / eastern
Aquarius The New Astrology - Chinese and Western Zodiac Signs,Suzanne White,2.99,18790.0,"A Savvy Blend of your Sun Sign with your Chinese Animal Sign. An Aquarius/Dog is not like an Aquarius Rat or Dragon. The New Astrology™ is the creation of world-renowned best-selling author, Suzanne White, who has come up with a revolutionary way of looking at character by blending the signs of both cultures. You will learn a lot about yourself and even more about those you know - or think you...",2017.0,English.,» Astrology / eastern
