name,author,price,words,description,date,language,category
"Üç Büyük Düşman: Nefis, Şeytan, Kötü Arkadaş -Tuzakları ve Kurtuluş Yolları-",Hasan Şahin,3.4,"18,860.00","Nefis, şeytan ve kötü arkadaşların komplolarını, pusularını, şüphelerini ve tuzaklarını, onların kötülüklerinden nasıl uzak kalınacağını canlı örneklerle yaşayan ve anlatan Peygamberin (sas) hayatından çıkarsamalarla ortaya konulmuş bir başucu kitabı! Yazar Hasan Şahin'in Nordic Publishing'de çıkan 8. kitabı, yayınevinin 100 kitabı sizlerle. Faydalı okumalar...",2023,Turkish.,» Prayerbooks / Islamic
Ardent désir (Une Novella),Tina Folsom,0.99,"17,570.00","Jack Stone arrive sur une île pourvue d'une source magique afin de voir se réaliser l'unique souhait de sa vie : redevenir mortel. En tant que vampire, il est fatigué de l'insatisfaisante vie empreinte de solitude qu'il a menée. C'est alors qu'il rencontre Claire Culver, une femme dont le séjour sur l'île représente le dernier espoir. Elle aspire à un miracle qui pourra la guérir d'une maladie...",2023,French.,» Witches
"Hoodoo for Beginners: Connect To The Ancient Spirit World of Africa & Manifest Success With Spells, Root Magic, Conjuring, Herbs, Traditions, History & More",History Brought Alive,2.99,"29,660.00","Journey into The Mystical & Magical World of Hoodoo - from its African origins to its development in America. Hoodoo was a secret craft created by enslaved Africans in America to protect them from harm with the help of higher beings and their ancestors. It evolved from various traditional African religions and practices, and in the American South, incorporated elements of indigenous botanical...",2023,English.,» Channeling & mediumship
The Best Wizard Movies (2020),Steve Hutchison,2.99,"13,000.00","Steve Hutchison reviews 60 of his favorite wizard movies. Each article includes a synopsis, a review, and a rating. The movies are ranked. How many have you seen?",2023,English.,» Film & video / guides & reviews
Le retour de Luther,Tina Folsom,7.99,"88,900.00","Après vingt ans d'incarcération dans une prison pour vampires, Luther est enfin libre. Mais alors qu'il se prépare à refermer, une fois pour toutes, ce chapitre de sa vie, un kidnapping le propulse de nouveau dans le monde de Scanguards et dans une confrontation avec les vampires dont il a presque tué les compagnes, deux décennies plus tôt. L'actrice Kimberly Fairfax, « Katie », a tourné le dos...",2023,French.,» Witches
Bastion of Divine Truth,Riaan Engelbrecht,4,"76,630.00","Mankind stands at a most critical time. A deserted bell rings over a deserted field. It is a hollow sound, eerie, almost foreboding. It is the bell that one hears in the wake of death or at that very moment of impending doom and danger. It is the toll that brings a chill to one's bones. For when that forlorn watchman on a fortress wall hears that bell through misty currents, and it is like a...",2021,English.,» Christian Ministry / Preaching
80 All-British Horror Movies,Steve Hutchison,2.99,"17,170.00","This book contains 80 descriptions of horror films reviewed and ranked by critic Steve Hutchison. Each description includes five ratings (stars, story, creativity, acting, quality), a synopsis and a review. All movies were produced exclusively by the United Kingdom. How many have you seen?",2023,English.,» Film & video / guides & reviews
"Breaking Free: Escaping the Matrix, Overcoming the Slave Mindset, and Becoming a High Value Man",Mr. Hussain,2.99,"2,370.00","This book provides insights on how to break free from the societal Matrix, overcome the slave mindset and become a high value man. The book aims to help readers develop self-awareness, take control of their thoughts, and pursue their goals, even if it means stepping outside their comfort zone. The book gets straight to the point, and only covers the important and relevant information.",2023,English.,» Educational psychology
"Norse Mythology Legends: Epic Stories, Quests, Myths & More from The Most Powerful Characters, Gods, Goddesses & Heroes of Norse & Viking Folklore",History Brought Alive,2.99,"29,350.00",Begin your quest into Norse Mythology & its Legendary Characters with This Book!,2023,English.,» Ancient mysteries & controversial knowledge
"The Book of Spells for Beginners: Revealing The History, Secrets & Practices of Spells, Witchcraft, Magick & More",Sofia Visconti,2.99,"28,810.00","Join us as we explore together! Whether you're beginners or just curious to learn all about magick, spells and witchcraft.",2023,English.,» Ancient mysteries & controversial knowledge
Lead with Impact Practical Tips for Elevating Your Leadership Skills,Robert David,8.95,"15,420.00","""Lead with Impact: Practical Tips for Elevating Your Leadership Skills"" is the ultimate guide for leaders looking to enhance their abilities and make a lasting impact in their organization. With a focus on developing essential leadership qualities such as emotional intelligence, collaboration, goal setting, and continuous learning, this comprehensive program provides practical tips and...",2023,English.,» Strategic planning
The Best Lycanthrope Movies (2020),Steve Hutchison,2.99,"12,940.00","Steve Hutchison reviews 60 of his favorite lycanthrope movies. Each article includes a synopsis, a review, and a rating. The movies are ranked. How many have you seen?",2023,English.,» Film & video / guides & reviews
The Joy of Letting Go: Find Happiness and Satisfaction Through Releasing Expectations,Rohit,3.99,"14,440.00","The Joy of Letting Go: Find Happiness and Satisfaction Through Releasing Expectations Do you feel like you are constantly under pressure to meet expectations and achieve goals? Do you feel like life is one big race, and it's never-ending? If so, it's time to take a break and explore the joy of letting go. The Joy of Letting Go: How to Find Happiness and Satisfaction Through Releasing The...",2023,English.,» Dreams
No Way  Back,W H Hilton,4.99,"78,570.00","No Way Back How to commit the perfect murder. Alicia Thornton is an attractive 21 year old interior designer who works for 'Spanner 'n' All', a DIY store in the city of Benallwyn, North Wales. She is very skilled at her job, and doesn't suffer fools, period. After a visit to her granddad, who was still mourning the loss of his wife, Ali's grandmother, Alwen, during a fire at the Ferodino...",2023,English.,» Action & suspense
Waking The Witch,W. V. Fitz-Simon,2.99,"105,950.00","A witch's daughter. A murderous sorcerer. A friend in desperate need of her power... ""A refreshing take on Urban Fantasy with unique magic and an engaging mystery."" ~ Fanfiaddict.com For 30-year-old Gosha, magic is a four-letter word, but in her mother's world of witchcraft, words have power—power Gosha will have to sacrifice everything to acquire. When a devious sorcerer masquerading as a New...",2020,English.,» Urban
The Best Zombie Movies (2020),Steve Hutchison,2.99,"12,950.00","Steve Hutchison reviews 60 of his favorite zombie movies. Each article includes a synopsis, a review, and a rating. The movies are ranked. How many have you seen?",2023,English.,» Film & video / guides & reviews
Small Step Habits Create Weight Loss Success,Kurt Reichert,2.49,"20,520.00","Did you know that you can burn fat like a flame raging across a dry field, drop pounds like a deserving ex, and keep the weight off without weighing your food, measuring your ounces, or leaving behind every taste you ever loved? If you're tired of being overweight, feeling anything but your best, or hiding behind a trunk of clothes to hide the flab on your belly, it's time to change this.",2021,English.,» healthy living
Perser Katt,Fynn Hansen,3.99,"20,660.00","Balansert skjønnhet i en frodig pels - Perserkatten. Ikke alle katter med langt hår er persere. Dette pleide å være annerledes, fordi i begynnelsen krysset oppdrettere langhårede katter, det spilte ingen rolle hvilken opprinnelse kattene hadde. Den moderne perserkatten kjennetegnes ikke bare av lang pels, men også av korte ben og et flatt ansikt. Ettersom den korte nesen fører til ulike...",2023,Norwegian.,» Animals / Big Cats
Writing Is Murder,Cathryn Grant,4.99,"62,310.00","Are you dreaming of becoming a published author?Do you fear the stigma of self-publishing? Are you self-published but feel discouraged? In this candid exposition, Cathryn Grant shares her story on the road to becoming a self-published author.",2023,English.,» Composition & creative writing
80 All-American Horror Movies,Steve Hutchison,2.99,"17,160.00","This book contains 80 descriptions of horror films reviewed and ranked by critic Steve Hutchison. Each description includes five ratings (stars, story, creativity, acting, quality), a synopsis and a review. All movies were produced exclusively by the USA. How many have you seen?",2023,English.,» Film & video / guides & reviews
The Best Giant Movies (2019),Steve Hutchison,2.99,"10,730.00",Steve Hutchison reviews 50 of the best giant movies. Each film is analyzed and discussed with a synopsis and a rating. The movies are ranked from best to worst. How many have you seen?,2023,English.,» Film & video / guides & reviews
WAEC Literature African Poetry Summary & Analysis,Ralph Nyadzi,3.99,"19,720.00","This book, WAEC Literature African Poetry Summary & Analysis contains summaries and analyses of six poems from some of the best African poets. The poems covered include Black Woman, The Grieved Lands, The Leader and the Led and Raider of the Treasure Trove. The others are The Song of the Women of My Land and A Government Driver on His Retirement. The study notes cover such areas as subject...",2023,English.,» Study guides -- Book Notes
Masters of Terror 2020,Steve Hutchison,3.9,"58,690.00","This book contains the synopses and reviews of the darkest movies in the filmography of ten legendary masters of terror: Stephen King, Wes Craven, Clive Barker, John Carpenter, George A. Romero, Tobe Hooper, Charles Band, Brian Yuzna, Lloyd Kaufman, and Stuart Gordon. The movies are ranked.",2023,English.,» Film & video / guides & reviews
The Dying Party,Jeff Kelland,2.99,"65,400.00","""The Dying Party"" asks: 'What happens when they tell us it's too late to stop climate change and we face an increasingly hellish end within our lifetimes?' Late in the 2040s, Lizzie and Donnie are two of only six people left alive in a residential complex built into the side of Gros Morne mountain, now the only piece of habitable land still above water in all of what was once eastern Canada...",2023,English.,» Utopias & dystopias
La provocatrice d'Amaury,Tina Folsom,7.99,"106,840.00","Le vampire Amaury LeSang est maudit. Sa malédiction le contraint à ressentir les émotions de tous à travers une migraine persistante. La seule façon pour lui de pallier la douleur est le sexe. Lorsqu'il rencontre Nina, une petite humaine bagarreuse, un remède à son affection semble être à portée de main : en sa présence, toute douleur disparaît. Malheureusement, Nina a en tête de le tuer car...",2023,French.,» Witches
Destino Italia,Adrianne Holt,2.99,"31,440.00","Tras la ruptura de su compromiso Hanna McCain busca sanar sus heridas embarcándose en un viaje por Italia. Sus planes darán un giro cuando un retraso en su vuelo la haga coincidir con Benjamin Clark, un atractivo asesor financiero cuya personalidad hostil podría ahuyentar a cualquiera excepto a la extrovertida Hanna. Lo que en un principio parecía una excepcional coincidencia pronto se...",2018,Spanish.,» Contemporary
The Best Alien Movies (2020),Steve Hutchison,2.99,"12,850.00","Steve Hutchison reviews 60 of his favorite alien movies. Each article includes a synopsis, a review, and a rating. The movies are ranked. How many have you seen?",2023,English.,» Film & video / guides & reviews
A Life of Vision,Riaan Engelbrecht,4,"65,710.00","At the moment of spiritual surrender unto God, visibility of physical sight and senses surrenders unto eternal and everlasting spiritual vision for unto that moment the eyes of faith open and the sight of flesh ceases in perception and knowledge and understanding. By that spiritual awakening and rebirth of vision, as we yield to the powerful and glorious work of the Holy Spirit, our journey...",2021,English.,» Christian Ministry / Preaching
The Best Vampire Movies (2020),Steve Hutchison,2.99,"12,770.00","Steve Hutchison reviews 60 of his favorite vampire movies. Each article includes a synopsis, a review, and a rating. The movies are ranked. How many have you seen?",2023,English.,» Film & video / guides & reviews
The Best Demon Movies (2020),Steve Hutchison,2.99,"13,030.00","Steve Hutchison reviews 60 of his favorite demon movies. Each article includes a synopsis, a review, and a rating. The movies are ranked. How many have you seen?",2023,English.,» Film & video / guides & reviews
When the Whistle Blows,Janet Syas Nitsick,2.99,"44,840.00","When the Whistle Blows, Hugh Warren paces outside the depot, waiting to see if his love, Winifred Preston, will step off the train to meet him. He only had himself to blame for his predicament. Could she give him another chance? He did not know. Heart in his throat, he looks this way and that hoping against hope she did not already marry the beau back in Virginia. When the Whistle Blows takes...",2023,English.,» American
El Amor de un Granjero: Vivenciando la Biodinámica y el Significado de Comunidad,Walter Moora,9.9,"35,310.00",El Amor de un Granjero vivenciando la biodinámica y el significado de comunidad.,2023,Spanish.,» Agriculture / Organic
The Weight of Expectations,afroon victor,7.99,"3,780.00","""Empowering Young Minds: Overcoming the Most Common Challenges Faced by Today's Youth. From Academic Pressure to Mental Health Issues, Learn How to Overcome Adversity and Build a Bright Future. With Practical Strategies and Inspiring Stories, This Book Offers a Roadmap to Help You Overcome Life's Obstacles and Thrive in Today's World.""",2023,English.,» Sociology
Attrayant,Tina Folsom,3.99,"54,780.00","Tara Pierpont ne supporte plus que ses parents se mêlent de sa vie privée et la harcèlent pour qu'elle épouse un homme riche, comme l'a fait sa sœur. Elle décide qu'il est temps pour elle de se rebeller. L'occasion se présente alors sous la forme d'un beau serveur, lors d'une soirée très privée dans les Hamptons. Pendant la réception organisée par les parents d'un de ses amis pour leur...",2023,French.,» Billionaires
Russisk Blå Katt,Fynn Hansen,3.99,"19,690.00","Sensitive skjønnheter - De russiske blå kattene Det som ser ut til å være et moderne avlseksperiment, er i virkeligheten en historisk bevist naturlig utvikling. Det finnes bevis for at det fantes blåkatter i Nord-Europa så tidlig som på 700-tallet. Sjøfolk laget hansker og kapper av pelsen, som har overlevd frem til i dag. Mer gledelig for kattene var at deres tilstedeværelse ved aristokratiske...",2023,Norwegian.,» Animals / Big Cats
Dire's Club,Kimberly Packard,4.99,"94,360.00","Dying isn't just hard on the ones left behind, the regret of unfinished lives weighs heavily on the terminally ill. That's where Dire's Club steps in, a specialty travel agency that takes a small group of dying people on one final adventure—so they can be free of guilt, be more than a diagnosis, and find a way to confront life…and death. Life Coach Charlotte Claybrooke built a successful second...",2021,English.,» Chick lit
Le choix de Thomas,Tina Folsom,7.99,"89,400.00","Vampire employé chez Scanguards et maître dans le domaine du contrôle de l'esprit, Thomas est le mentor d'Eddie, le petit nouveau, depuis plus d'un an et en est amoureux depuis tout aussi longtemps. Mais il croit que cet amour ne sera jamais partagé. Tout en patrouillant à travers San Francisco à la recherche de vampires diaboliques, Eddie embrasse Thomas lors d'une tactique de diversion et se...",2023,French.,» Witches
Hooverville,Kayla Joy,4.99,"78,280.00","Set during the Great Depression, Hooverville tells the story of a wealthy aristocrat, a poor shoeshiner, and the romance that blossomed in the harshest conditions. Based on a true story.",2021,English.,» 20th Century
El evangélico pentecostal frente al daño ambiental,José Galván Veintemilla,2.9,"6,440.00","Este ensayo de investigación intenta saber si el evangélico, en especial el pentecostal, si su reconocimiento a la creación, lo armoniza con las normativas públicas sobre el cuidado del medioambiente ante los inminentes efectos del daño que experimentan los ecosistemas y menoscabo de los recursos naturales. Para esta redacción, hemos realizado una encuesta y acudido a tesis de universidades...",2023,English.,» Christianity / Pentecostal & Charismatic
The Soul Eater,M.D. LaBelle,5.99,"80,050.00","10 years earlier, Jason Hathaway drives down a dark deserted road on his way home from his nephew's birthday party, when he sees a red-haired woman walking alongside the road. Picking her up, he finds out that she is not what he thinks she is. Instead, he ends up losing his soul. Spending the next 10 years of his life looking over his shoulder, he eventually comes to the realization that the...",2023,English.,» Gothic
Gingersnap,Daniel Swenson,4.99,"32,790.00","Conner believes dragons are real, and they love to eat redheaded children because they taste like gingersnap cookies. He is teased and bullied because of course dragons aren't real. If that is true, why is one hunting him? Will he become a dragon snack?",2023,English.,» Paranormal
Torride,Tina Folsom,3.99,"61,060.00","Au mariage de son ami Daniel, Paul Gilbert fait la connaissance de Holly Foster et tombe immédiatement sous son charme. Après avoir passé une nuit incroyable dans ses bras, il découvre que Holly est une escort-girl professionnelle. Se sentant trahi, il la repousse. Quelque temps plus tard, alors que sa famille fortunée fait pression sur lui pour qu'il épouse une riche héritière qui le laisse...",2023,French.,» Romance
Master Your Destiny - The Anything Is Possible Mindset,Danny Nandy,2.99,"9,650.00",The World Is Full Of Endless Possibilities - Are You Open To This Fact?,2023,English.,» Personal Growth / General
Un baiser sous le gui,Virginie T.,3.15,"49,460.00","Connard! Voilà ce que je pense de Mathieu. Pourtant, tout avait si bien commencé. Une fête, l'annonce de la grossesse de ma jumelle et un slow à me faire battre le cœur plus vite. Puis tout est parti en cacahuète. Le pire dans cette histoire? Ma sœur à embaucher Mathieu dans notre société. Avec la chance que j'ai, il va bien réussir à gâcher mon Noël!",2022,French.,» General
First Pitch Swinging,Linda Fausnet,0,"84,730.00","Supposedly, I'm ""too wild"" to be offered a contract by my dream baseball team. I need a wife so they'll think I've been tamed...",2023,English.,» Sports
El Libro de la Alineación de Chakras para la Salud y la Abundancia,Elena Machado,9.99,"2,870.00","¿Está buscando desbloquear el poder de la alineación de los chakras para la salud y la abundancia? Nuestro libro electrónico sobre la alineación de los chakras para la salud y la abundancia es la guía perfecta para ayudarle a conseguirlo. Escrito por un experimentado sanador energético, este completo libro electrónico ofrece instrucciones paso a paso para ayudarle a alinear sus chakras para...",2023,Spanish.,» Sacred sexuality
Payback,Michelle Kelly,2.99,"32,020.00","In a moment of madness, Riley takes out the school bully and expects PAYBACK!",2023,English.,» Fiction
Les désirs d'Oliver,Tina Folsom,7.99,"93,640.00","Récemment transformé en vampire, Oliver, garde du corps employé chez Scanguards, éprouve des difficultés à contrôler sa soif de sang. Chaque nuit se traduit par une lutte contre la tentation mais, lorsqu'Ursula, la beauté asiatique, lui tombe littéralement dans les bras, il craint de perdre la bataille face à ses démons intérieurs et donc, de succomber à son désir d'hémoglobine. Réduite à l...",2023,French.,» Witches
Maimo Kumolintang 普 遍   和 谐,markus,9.75,"3,910.00","Maimo Kumolintang 方法是一种便宜、简单但有效的音乐学习方法。 通过简单地拍手，您可以掌握音调和和弦。 使用""Minahasa""文化的教学法，普通人将能够在没有任何音乐天赋甚至听力的情况下演奏音乐。 这是一种未来的音乐教育方式，其理念是音高和谐是运动平衡的一部分。",2023,Chinese.,» Ethnomusicology
Starlight,Niall Teasdale,3.49,"43,760.00","Thousands of years ago, the Romar ruled the world. Then their god’s constellation vanished from the sky, their empire fell, and most of the Romar became slaves. Eighteen years ago, Rom’s constellation reappeared, and on that night, a girl was born.",2023,BritishEnglish.,» Epic
Warrior Unraveled,Tina Folsom,7.99,"79,100.00","Scanguards witch Wesley Montgomery is determined to form an alliance between his group and the elusive Stealth Guardians. But Virginia Robson—ex-enforcer, newly minted member of the Stealth Guardian Council, and a woman who gets Wesley's heart pumping in his chest—isn't making it easy for him. The fiery redhead thinks that Wesley was sent by the demons to infiltrate them—a belief that is...",2023,English.,» Witches
Meeting His Match,Alexa Riley,2.99,"23,430.00",Twins falling for twins? Could this be more over the top? Double up on the Double Trouble Duet because it's got twice the romance and love!,2023,English.,» Contemporary
Bad Boy Best Friend,Hope Ford,2.99,"23,800.00","He's her BFF – Best Friend Forever And he's off limits.  But now that she's single, he wants to change the rules. So why can't they be best friends with benefits?",2023,English.,» Contemporary
Mud,Greg Strandberg,2.99,"17,470.00","Sanders McGee is at it again, this time battling a terrible mudslide after the disastrous fires that struck San Diego. After a helluva bender following the fires, Sanders awakes to a massive shootout...one that leaves a crooked cop dead and more questions than answers. The drug kingpin - and Cartel stooge - Bobby Salazar is mixed up in it. That's also the man who supplies Sanders' own dealer...",2023,English.,» Hard-Boiled
The Power of Play: Optimize Your Joy Potential,Andrea Seydel,9.99,"51,870.00","In the book, The Power of Play: Optimize Your Joy Potential, you will discover how igniting joy and uplifting experiences through the power of play can transform your life, help you through challenging times and even lead you on a path to appreciation and great fulfillment. Play positively matters.",2023,English.,» Mental health
Ace on the Run,Tina Folsom,3.99,"46,610.00","Motorcycle mechanic and biker Scott Thompson isn't the laid-back loner he makes everybody believe. Three years ago he was known as Ace, and belonged to an elite group of agents in a top secret CIA program. However, the preternatural ability that made him an invaluable asset to the government could now become his downfall, for he has to resist acting upon his premonitions, or risk exposing...",2023,English.,» General
Fiancé Visa USA,bruce brown,15,"24,740.00","If you are currently in a long-distance relationship with your fiancé who is a foreign national living in another country, you can get a K-1 fiancé visa to bring them to the U.S.A so you two can be together. This book walks you through the fiancé visa process IN PLAIN ENGLISH. We are Yuri and Bruce, an international couple who successfully went through this process years ago and have since...",2023,English.,» Emigration & Immigration
Special Needs Education : The Pocket Learner - The Ultimate Toolkit for Every Parent and Caregiver of a Child or Adult with Special Educational Needs and Disabilities,Andrea Campbell,7.99,"41,880.00","The Pocket Learner is an educational system that the author developed to help her child with special educational needs. This multi-award-winning innovation and is used by families across the globe to help their children build vocabulary, learn to read, and count. The toolkit rests on six pillars characterised by the acronyms: HOPE, FAITH, GENTLE(ness), JOY, LOVE, and PEACE.",2023,English.,» People with Disabilities
Airline Pilot Interview,L C Wright,16.99,"15,650.00","Preparing for an airline pilot interview can be a daunting experience, whether it's your first time or you're a hardened veteran. That's why this ebook is a must-have for any pilot looking to land their dream job. With a comprehensive guide to the entire application process, including detailed explanations of the different types of questions and how they assess your core competencies, this...",2023,English.,» Personal Growth / Success
The Barry Special Bear with Autism - Barry Meets New Friends,Adam Buckley,6.99,0,"""The Barry Special Bear With Autism"" is a heartwarming children's book about a bear named Barry who has trouble making friends due to his autism. He struggles with sensory issues, specifically with light and sounds, which makes it hard for him to socialize with other bears.",2023,English.,"» Lepidopterans (butterflies, moths, & caterpillars)"
"The Fulcrum, Book One",Lenaya Fallin,1.49,"24,630.00","This is a series with cliffhanger endings. ˈfʊlk.ɹəm: the fixed point, providing balance and power Life can be tricky you are submissive, genetically engineered and related to spies. She is a journalist whose biggest scoops can never be written. The current one is a doozy. Her brothers are MIA. No one seems to know the nature of the mission or even where it took place. And she's stuck on a...",2021,English.,» Multicultural & Interracial
Los Secretos de la Numerología:Aprende a Usar la Numerología para Tu Ventaja,Francisco Machado,9.99,"4,810.00","¿Está buscando una guía para desbloquear el poder de la numerología y utilizarla en su beneficio? ¡Nuestro eBook numerología es el recurso perfecto para usted! Este eBook proporciona una visión general fácil de seguir de los fundamentos de la numerología y cómo aplicarlo a su vida. Con nuestro eBook numerología, usted será capaz de empezar a desentrañar los misterios de la numerología y la...",2023,Spanish.,» I ching
Beautiful Storm,Megan Isaacs,2.99,"105,510.00","He was my salvation. Interviewing the notorious owner of 'Ignition' should have been simple. When asked to go home with him, I should've said 'no.' But Noah Hamilton's tattooed, hard body and rugged features were impossible to resist. I wanted him to touch me. And I longed to be loved again. I craved the escape and was desperate to know him. Much like his lifestyle, our heated affair took off...",2015,English.,» Erotic
"The Fulcrum, Book Four",Lenaya Fallin,1.49,"36,190.00","The exciting conclusion! ˈfʊlk.ɹəm: the fixed point, providing balance and power Life can be tricky you are submissive, genetically engineered and related to spies. She is a journalist whose biggest scoops can never be written. The current one is a doozy. Her brothers are MIA. No one seems to know the nature of the mission or even where it took place. And she's stuck on a business trip when a...",2022,English.,» Multicultural & Interracial
"The Fulcrum, Book Two",Lenaya Fallin,1.49,"24,230.00","This is a series with cliffhanger endings. ˈfʊlk.ɹəm: the fixed point, providing balance and power Life can be tricky you are submissive, genetically engineered and related to spies. She is a journalist whose biggest scoops can never be written. The current one is a doozy. Her brothers are MIA. No one seems to know the nature of the mission or even where it took place. And she's stuck on a...",2022,English.,» Multicultural & Interracial
"The Fulcrum, Book Three",Lenaya Fallin,1.49,"18,750.00","This is a series with cliffhanger endings. ˈfʊlk.ɹəm: the fixed point, providing balance and power Life can be tricky you are submissive, genetically engineered and related to spies. She is a journalist whose biggest scoops can never be written. The current one is a doozy. Her brothers are MIA. No one seems to know the nature of the mission or even where it took place. And she's stuck on a...",2022,English.,» Multicultural & Interracial
The Person and Work of the Holy Spirit,Riaan Engelbrecht,5,"116,200.00","This is an in-depth study guide into the Holy Spirit, who is not a mere force. He is not energy. The Holy Spirit is a person and part of the Trinity along with the Father and the Son. God is Sovereign, and just so God wills and moves according to His will. Just so, the Spirit of the Lord moves and acts never out of His own accord, but always follows the leading of the Father. So the Spirit is...",2021,English.,» Christian Ministry / Preaching
